model_name,report_path,task,implementation,profile,top1_accuracy,top5_accuracy,dataset_images_evaluated,dataset_images_skipped,cpu_time_seconds,cpu_usage_percent,wall_time_seconds,peak_memory_mb,batches_evaluated,avg_batch_cpu_time_seconds,avg_batch_cpu_usage_percent,avg_batch_wall_time_seconds,avg_batch_memory_mb,min_batch_cpu_time_seconds,max_batch_cpu_time_seconds,min_batch_cpu_usage_percent,max_batch_cpu_usage_percent,min_batch_wall_time_seconds,max_batch_wall_time_seconds,min_batch_memory_mb,max_batch_memory_mb
microsoft/cvt-13-384,/Users/gosha/Work/FBK/repos/task-benchmark/examples/imagenet-1000/reports/report_microsoft__cvt-13-384.json,image-classification,task-inference,default,0.384,0.608,1000,0,587.5038659280001,192.39497722496316,305.36341145800543,810.015625,8,73.237071696,194.32685522680674,37.69434032812478,806.201171875,60.34738380800002,77.806043776,190.8050779535369,195.18211669425153,30.9185005420004,39.89225108300161,797.828125,810.015625
facebook/convnext-base-384-22k-1k,/Users/gosha/Work/FBK/repos/task-benchmark/examples/imagenet-1000/reports/report_facebook__convnext-base-384-22k-1k.json,image-classification,task-inference,default,0.589,0.83,1000,0,2598.677577728,299.40931432787204,867.9347813749991,932.453125,8,324.81401856,300.0130800685382,108.25773720299912,932.431640625,263.9678668800002,339.2487096319999,297.49756562918566,302.152486657818,88.16640575000201,112.3248510409976,932.375,932.453125
